Date,Symbol,High,Low,Close,Volume
2023-10-24T00:00:00+0000,NVDA,436.97,426.91,436.63,40044400.0
2023-10-23T00:00:00+0000,NVDA,432.48,409.45,429.75,47721800.0
2023-10-20T00:00:00+0000,NVDA,424.7,410.78,413.87,47638100.0
2023-10-19T00:00:00+0000,NVDA,432.97,418.82,421.01,49937400.0
2023-10-18T00:00:00+0000,NVDA,432.19,418.25,421.96,62533900.0
2023-10-17T00:00:00+0000,NVDA,447.54,424.8,439.38,80998800.0
2023-10-16T00:00:00+0000,NVDA,462.25,449.12,460.95,37454600.0
2023-10-13T00:00:00+0000,NVDA,471.16,452.8,454.61,47411500.0
2023-10-12T00:00:00+0000,NVDA,476.09,463.3,469.45,48055100.0
2023-10-11T00:00:00+0000,NVDA,468.59,460.5,468.06,37684600.0
2023-10-10T00:00:00+0000,NVDA,462.59,450.88,457.98,36782600.0
2023-10-09T00:00:00+0000,NVDA,456.05,443.68,452.73,40906600.0
2023-10-06T00:00:00+0000,NVDA,457.89,440.26,457.62,43339700.0
2023-10-05T00:00:00+0000,NVDA,449.0,438.88,446.88,39285100.0
2023-10-04T00:00:00+0000,NVDA,441.43,432.92,440.41,36113900.0
2023-10-03T00:00:00+0000,NVDA,451.3,432.46,435.17,46970700.0
2023-10-02T00:00:00+0000,NVDA,451.75,438.61,447.82,42452788.0
2023-09-29T00:00:00+0000,NVDA,441.44,433.07,434.99,39722100.0
2023-09-28T00:00:00+0000,NVDA,434.4631,421.15,430.89,42196795.0
2023-09-27T00:00:00+0000,NVDA,428.72,416.29,424.68,44359100.0
2023-09-26T00:00:00+0000,NVDA,428.2,416.55,419.11,40152800.0
2023-09-25T00:00:00+0000,NVDA,425.36,411.77,422.22,41804100.0
2023-09-22T00:00:00+0000,NVDA,421.15,412.31,416.1,47817500.0
2023-09-21T00:00:00+0000,NVDA,421.0,409.8,410.17,44893000.0
2023-09-20T00:00:00+0000,NVDA,439.03,422.23,422.39,36710770.0
2023-09-19T00:00:00+0000,NVDA,439.66,430.02,435.2,36825444.0
2023-09-18T00:00:00+0000,NVDA,442.42,420.0,439.66,49950900.0
2023-09-15T00:00:00+0000,NVDA,455.99,438.08,439.0,50571300.0
2023-09-14T00:00:00+0000,NVDA,459.87,451.31,455.81,36930000.0
2023-09-13T00:00:00+0000,NVDA,459.3,445.03,454.85,39730700.0
2023-09-12T00:00:00+0000,NVDA,456.73,445.31,448.7,34857300.0
2023-09-11T00:00:00+0000,NVDA,461.63,443.12,451.78,46035657.0
2023-09-08T00:00:00+0000,NVDA,466.06,452.71,455.72,47389994.0
2023-09-07T00:00:00+0000,NVDA,463.44,451.52,462.41,43332992.0
2023-09-06T00:00:00+0000,NVDA,485.49,465.8,470.61,46866961.0
2023-09-05T00:00:00+0000,NVDA,488.51,478.6,485.48,38196300.0
2023-09-01T00:00:00+0000,NVDA,498.0,481.416,485.09,46383030.0
2023-08-31T00:00:00+0000,NVDA,497.44,489.58,493.55,52695400.0
2023-08-30T00:00:00+0000,NVDA,499.27,484.25,492.64,73398600.0
2023-08-29T00:00:00+0000,NVDA,490.81,463.91,487.84,69602700.0
2023-08-28T00:00:00+0000,NVDA,469.8,448.88,468.35,68375500.0
2023-08-25T00:00:00+0000,NVDA,478.05,450.24,460.18,92359300.0
2023-08-24T00:00:00+0000,NVDA,502.66,471.59,471.63,115274400.0
2023-08-23T00:00:00+0000,NVDA,472.0,452.08,471.16,77904609.0
2023-08-22T00:00:00+0000,NVDA,481.87,453.33,456.68,75529300.0
2023-08-21T00:00:00+0000,NVDA,470.65,442.22,469.67,68498591.0
2023-08-18T00:00:00+0000,NVDA,435.78,416.6,432.99,58262200.0
2023-08-17T00:00:00+0000,NVDA,440.62,430.01,433.44,45095900.0
2023-08-16T00:00:00+0000,NVDA,446.75,434.06,434.86,52620100.0
2023-08-15T00:00:00+0000,NVDA,452.68,437.1,439.4,67493100.0
2023-08-14T00:00:00+0000,NVDA,438.0,403.11,437.53,68358200.0
2023-08-11T00:00:00+0000,NVDA,420.18,406.39,408.55,53200900.0
2023-08-10T00:00:00+0000,NVDA,435.74,418.35,423.88,49213100.0
